age,gender,daily_screen_time_hours,phone_usage_hours,laptop_usage_hours,tablet_usage_hours,tv_usage_hours,social_media_hours,work_related_hours,entertainment_hours,gaming_hours,sleep_duration_hours,mood_rating,physical_activity_hours_per_week,location_type,uses_wellness_apps,eats_healthy,caffeine_intake_mg_per_day,mindfulness_minutes_per_day
30,0,5.0,4.5,1.5,0.5,0.5,0.6,0.8,3.4,2.2,6.0,9,1.8,Urban,0,1,123.3,17.9
38,0,4.6,0.0,0.0,1.8,2.3,2.3,3.1,1.4,1.6,6.3,5,1.0,Suburban,0,1,215.8,6.5
56,0,3.5,4.0,2.7,1.2,1.0,3.0,2.2,2.9,0.3,6.1,6,2.7,Urban,0,1,159.7,9.4
46,0,10.0,1.9,2.2,1.1,1.5,0.7,2.6,0.0,0.2,5.1,6,1.3,Rural,0,0,216.7,18.3
22,1,7.1,2.1,3.4,0.9,2.2,3.0,1.3,2.4,2.2,4.7,8,1.2,Rural,0,1,119.7,9.0
48,0,6.8,3.7,1.6,1.3,3.5,0.9,1.1,3.7,1.5,6.6,10,3.5,Rural,0,0,137.6,17.8
26,0,9.2,2.5,2.9,1.1,2.0,2.9,1.5,3.0,0.0,7.2,3,4.6,Rural,0,0,160.7,1.8
43,0,6.5,3.9,0.9,0.8,1.7,1.7,2.3,2.6,0.5,8.4,9,3.5,Urban,1,1,140.3,13.5
60,1,4.5,2.9,0.0,0.8,0.4,1.5,2.8,5.3,3.2,7.8,7,0.7,Rural,1,0,80.3,16.7
27,1,2.6,3.3,1.9,0.5,2.7,3.4,1.7,0.3,2.2,7.6,6,1.7,Urban,1,1,178.3,3.4
20,1,4.4,2.3,1.4,0.4,1.9,4.1,0.0,0.6,1.2,6.8,1,3.6,Rural,1,0,100.7,8.6
26,1,9.0,1.4,0.9,0.9,1.2,0.0,2.5,3.1,1.2,6.6,4,4.3,Urban,0,1,149.5,8.7
35,0,3.5,1.9,2.9,1.6,1.0,2.7,2.3,3.7,0.0,5.6,5,2.6,Urban,1,1,43.5,11.7
52,1,6.7,2.8,3.2,0.5,1.1,2.2,2.6,3.7,2.5,5.4,2,1.2,Urban,1,1,117.6,13.8
33,0,8.1,5.8,2.1,1.4,1.5,2.8,3.0,1.8,0.7,6.7,1,4.5,Urban,1,0,143.7,2.7
28,0,6.6,5.2,1.8,0.6,0.0,0.3,2.9,1.4,0.4,5.5,2,6.6,Rural,0,1,178.1,9.5
57,1,6.8,2.0,2.1,0.1,2.7,0.7,3.6,1.2,1.9,6.4,8,5.2,Rural,1,0,88.2,22.7
30,1,7.3,3.1,1.3,1.3,2.5,1.2,2.0,2.9,0.6,3.5,10,7.0,Suburban,1,0,105.4,18.4
59,1,6.8,2.6,2.6,1.8,1.3,2.3,1.5,1.2,0.0,7.1,6,1.8,Suburban,0,0,238.2,16.4
36,1,9.2,3.2,0.5,0.6,1.1,1.1,3.2,3.9,1.6,5.3,10,5.1,Suburban,1,1,248.3,8.5
38,1,3.9,3.4,0.9,0.2,1.5,1.6,3.1,2.5,0.0,4.8,2,5.6,Urban,0,0,175.7,27.0
37,0,6.5,3.8,1.2,1.2,1.6,3.0,1.7,1.6,1.1,7.4,9,2.0,Suburban,0,1,214.0,18.2
57,1,2.4,0.0,2.5,0.5,1.2,4.5,3.3,1.6,1.5,7.7,8,1.3,Urban,0,0,130.3,10.3
53,2,1.9,3.5,1.7,1.3,2.5,2.9,2.1,0.5,0.9,6.4,4,1.1,Suburban,0,0,182.7,11.8
41,1,5.8,2.4,3.4,1.6,0.1,3.0,3.5,1.5,0.9,5.6,10,2.8,Rural,1,1,180.2,6.3
27,0,7.1,1.9,2.8,1.2,0.8,1.8,4.1,1.8,2.8,7.4,7,0.0,Urban,0,1,102.9,13.1
57,0,9.3,4.2,1.2,1.4,2.3,0.9,5.2,3.0,2.8,5.6,3,6.4,Urban,0,1,159.8,14.7
13,0,10.8,5.2,2.6,1.4,1.8,1.6,2.1,2.4,0.3,6.3,6,0.4,Rural,1,0,135.2,15.6
37,0,8.6,4.0,1.6,1.5,0.8,1.9,3.7,1.4,0.6,8.1,3,3.8,Rural,0,1,168.4,8.6
19,0,7.5,2.2,2.5,1.0,1.9,0.6,3.0,0.9,0.7,7.0,10,0.0,Rural,1,1,123.2,0.0
21,0,6.3,1.4,2.9,1.4,0.7,3.0,3.1,2.2,1.2,6.4,3,7.1,Suburban,1,0,77.3,11.9
36,0,2.9,0.0,3.1,1.1,1.2,3.8,2.5,0.0,1.1,6.2,9,5.5,Urban,0,1,150.9,15.7
13,0,5.7,3.3,2.2,1.2,2.5,2.1,3.1,2.1,2.9,6.6,6,0.0,Urban,1,1,191.5,2.2
56,1,8.6,3.9,3.6,2.5,2.4,3.3,0.4,4.0,1.0,6.8,8,3.6,Urban,0,1,191.5,9.3
20,1,7.8,2.8,2.4,1.1,1.8,3.5,2.0,2.2,0.2,5.1,4,2.5,Suburban,1,0,61.2,20.7
36,0,3.4,4.4,2.1,0.3,0.4,0.8,1.2,2.7,0.6,7.9,4,3.3,Urban,1,1,159.1,0.4
23,0,7.2,1.0,1.7,0.9,1.1,0.0,1.1,2.5,1.6,6.0,8,4.3,Suburban,1,1,184.4,7.7
63,0,7.1,2.7,1.4,0.8,1.6,1.4,0.3,0.7,0.9,6.3,7,1.4,Rural,0,0,156.9,21.9
29,0,6.7,2.6,2.4,0.9,3.0,2.1,1.4,4.8,1.5,7.5,5,2.9,Rural,0,1,193.2,11.3
20,2,5.9,2.8,2.1,1.5,0.0,0.6,1.8,2.0,1.0,6.3,2,0.0,Urban,1,1,79.5,5.8
47,1,7.3,4.8,2.3,1.6,0.6,3.7,2.2,2.5,1.9,7.6,6,3.2,Urban,1,1,92.7,9.9
47,1,7.4,2.8,2.5,0.9,2.6,4.3,2.0,1.6,1.1,6.4,1,0.0,Rural,0,1,179.5,16.6
45,1,4.7,2.6,2.3,0.3,2.9,2.2,3.3,4.0,0.0,6.6,7,5.6,Suburban,0,0,132.6,8.4
17,0,6.9,1.6,4.0,1.0,1.4,0.8,0.9,0.6,0.9,6.8,9,0.1,Rural,0,1,208.6,14.8
54,0,5.6,5.0,1.5,0.7,3.0,2.6,0.0,4.2,3.4,6.9,5,3.6,Rural,1,1,165.3,11.9
51,1,3.0,0.9,2.4,1.1,0.8,0.8,2.6,2.1,2.4,7.2,5,4.7,Urban,0,0,105.2,12.5
53,0,4.9,2.2,1.8,0.9,0.0,3.4,1.9,1.8,0.0,7.8,7,6.7,Urban,1,1,102.7,15.3
40,1,2.9,5.5,0.0,1.6,2.3,1.7,1.9,1.7,3.0,7.7,5,6.5,Urban,1,1,56.2,7.6
19,0,8.0,3.7,1.8,1.1,2.8,2.9,1.1,4.9,1.3,5.5,10,5.8,Suburban,0,0,184.4,2.4
21,0,6.7,3.0,1.1,0.7,2.8,3.1,3.1,0.4,0.7,8.2,4,3.0,Urban,0,1,144.2,13.8
20,1,5.3,3.0,1.9,0.3,0.6,2.6,1.5,1.8,0.9,4.5,1,5.2,Suburban,1,1,195.8,8.9
24,0,8.8,1.6,2.0,1.0,1.7,4.1,0.9,0.8,1.3,5.7,6,3.6,Rural,0,0,162.9,6.4
46,1,6.1,2.9,2.4,1.0,2.3,2.2,4.0,0.1,2.3,6.3,9,3.7,Urban,0,1,155.7,14.2
45,1,3.1,2.5,1.5,0.9,1.8,1.4,2.8,4.2,1.4,5.1,4,1.8,Rural,0,1,190.8,20.2
60,1,5.1,3.3,1.6,1.4,2.9,0.0,2.0,2.5,1.5,6.8,10,6.5,Suburban,0,0,145.1,8.8
35,1,9.3,0.7,2.7,0.3,1.1,0.0,0.0,1.0,2.4,7.4,4,1.4,Rural,0,0,133.4,10.1
36,1,4.7,3.6,1.2,0.6,1.4,2.8,1.7,3.6,0.8,5.6,5,0.9,Urban,1,0,150.0,0.5
49,0,6.6,4.5,0.2,1.0,1.7,1.8,2.0,2.0,1.5,7.1,6,3.8,Urban,1,0,192.1,8.2
47,0,7.5,2.7,2.2,0.7,2.3,1.0,3.8,1.7,1.6,7.5,3,0.0,Urban,1,1,102.9,11.8
56,0,7.2,4.0,3.1,0.8,1.3,0.7,0.0,3.2,1.3,4.2,9,3.2,Urban,0,0,196.2,9.8
52,1,10.9,3.5,2.7,1.0,2.4,2.9,3.9,2.0,1.7,6.7,1,6.3,Urban,0,1,153.2,7.1
34,0,3.6,2.1,2.2,1.3,3.1,0.8,2.5,1.2,0.5,6.9,6,3.8,Rural,0,1,130.8,15.8
39,1,3.8,1.4,3.3,0.9,1.0,4.0,0.6,3.4,2.2,5.4,6,3.1,Urban,0,0,159.2,10.5
47,1,3.7,1.6,3.1,0.0,1.3,4.8,3.1,2.3,0.6,5.1,8,1.3,Rural,0,1,208.8,30.7
13,0,5.4,3.4,1.7,0.7,2.5,0.9,1.7,3.5,1.7,5.7,5,0.0,Suburban,0,1,208.4,11.7
47,1,8.2,2.9,2.2,1.2,3.4,2.8,0.0,2.0,1.4,6.3,9,4.7,Urban,0,1,169.6,0.0
49,0,3.9,4.9,2.3,1.4,2.1,2.5,1.5,3.8,0.5,5.6,9,3.1,Suburban,0,0,181.3,1.1
59,0,8.2,4.2,1.9,1.4,0.7,0.8,2.3,2.5,2.8,7.2,2,4.2,Rural,0,0,152.2,14.3
26,1,6.1,4.2,3.1,1.6,1.7,0.8,2.1,3.9,2.9,7.0,5,0.0,Suburban,0,0,120.8,4.9
15,1,3.8,3.4,1.8,1.1,2.5,1.9,2.8,3.8,0.3,7.0,7,4.5,Urban,0,0,172.2,5.4
13,1,2.5,1.6,1.5,1.1,0.7,0.6,3.3,4.1,2.0,8.0,2,7.0,Rural,1,1,127.6,0.1
17,0,2.9,3.5,0.0,0.5,0.4,3.3,0.7,2.6,1.1,7.3,7,5.7,Urban,0,0,98.7,6.2
38,1,4.7,3.1,1.2,0.0,1.2,1.7,2.0,3.0,0.5,6.8,9,3.6,Suburban,0,0,128.9,11.6
26,1,5.7,1.3,0.7,0.3,2.2,0.7,1.3,2.2,1.6,5.0,8,0.9,Suburban,0,1,67.9,13.1
51,1,8.7,4.8,2.0,0.6,0.1,1.9,0.5,1.3,2.0,7.9,10,3.2,Urban,0,0,88.1,1.8
39,0,7.6,4.7,0.7,0.3,0.8,2.6,1.9,5.1,1.4,8.0,9,3.3,Urban,1,0,251.5,16.4
21,1,4.3,1.3,2.6,0.9,1.8,1.1,2.5,1.5,0.8,6.1,4,2.0,Rural,0,1,206.3,0.5
27,1,6.8,2.0,3.1,0.8,2.6,0.0,2.6,3.7,2.5,5.5,8,2.2,Rural,1,1,138.0,13.5
27,0,9.3,2.2,2.0,1.5,1.8,2.2,1.5,3.4,2.6,7.4,9,7.2,Suburban,0,0,176.1,12.7
38,2,9.7,3.9,1.0,0.5,1.9,0.5,0.8,2.7,0.5,4.3,10,1.1,Urban,1,0,102.5,2.5
54,1,5.4,3.7,2.3,1.1,2.5,1.0,1.2,2.3,1.3,7.0,2,2.1,Urban,1,0,183.1,1.6
25,1,7.9,3.1,3.9,0.8,3.1,2.6,0.0,2.3,0.0,8.3,10,4.1,Urban,1,1,163.1,13.1
63,1,8.8,3.4,3.6,0.5,3.0,1.3,0.6,1.6,2.0,6.0,3,7.4,Suburban,0,1,114.8,5.5
44,0,3.0,1.1,0.6,0.6,0.0,1.8,0.7,2.6,2.5,6.8,1,2.4,Urban,1,0,133.8,8.5
51,1,5.0,3.6,0.6,0.0,1.6,3.7,3.0,1.0,1.6,6.6,1,0.0,Urban,0,0,130.4,15.5
61,0,10.4,2.8,0.3,1.4,2.4,1.6,3.0,3.5,0.2,7.8,10,0.0,Urban,0,1,192.5,13.8
64,0,5.4,2.0,0.9,1.7,3.2,4.4,4.6,2.2,2.8,6.6,6,8.0,Suburban,1,1,145.9,2.7
44,0,0.1,0.7,2.3,0.9,2.1,2.9,2.3,1.2,3.2,6.1,1,0.0,Rural,1,1,71.1,9.6
16,1,5.8,3.0,1.4,1.0,0.6,0.9,1.4,0.8,0.8,4.7,5,3.2,Suburban,0,0,127.6,2.5
42,0,8.2,3.5,1.2,0.9,0.8,1.4,2.0,2.3,1.6,6.6,6,0.0,Suburban,1,1,110.9,17.0
49,0,6.0,0.4,3.0,0.6,0.8,0.5,1.8,2.4,2.0,6.4,9,1.4,Urban,0,1,76.1,22.3
35,0,7.4,3.0,2.5,1.4,1.8,2.8,1.2,1.8,2.0,4.1,6,1.7,Urban,0,1,111.9,3.2
51,1,7.9,3.2,0.3,1.2,1.0,3.6,2.4,3.2,1.2,5.3,4,0.0,Suburban,1,1,42.1,9.8
57,2,5.3,2.2,3.0,0.0,0.0,1.6,2.2,3.0,3.0,5.8,1,5.4,Suburban,0,0,103.5,17.3
27,1,5.0,3.6,2.5,0.5,0.3,0.0,1.9,2.6,0.0,5.8,6,3.9,Urban,0,0,159.8,10.2
55,1,6.3,2.8,2.5,0.0,1.1,2.4,1.6,1.3,0.0,6.5,7,2.1,Suburban,0,0,172.7,14.5
41,1,6.4,3.4,1.4,1.8,0.1,1.0,2.8,1.5,1.2,6.4,5,1.9,Rural,1,0,175.2,10.4
48,0,6.1,3.8,1.8,0.9,0.3,1.1,1.3,0.7,2.9,6.4,6,5.2,Suburban,0,1,197.9,1.5
25,1,6.2,3.8,0.0,1.1,3.6,2.4,1.5,2.3,2.4,9.2,10,3.2,Suburban,0,0,209.4,11.0
44,1,4.5,4.5,2.9,0.8,1.5,3.5,2.6,3.2,0.0,6.0,8,7.2,Suburban,0,0,98.8,19.0
19,1,7.5,3.5,1.0,1.6,1.1,2.9,3.2,0.9,4.0,5.5,1,2.1,Urban,1,1,81.2,12.5
63,1,7.2,2.3,1.1,1.4,2.2,2.5,3.1,1.8,1.8,8.4,8,3.9,Suburban,1,0,152.1,23.0
34,0,3.3,2.0,1.1,0.9,2.6,1.8,1.7,2.4,0.0,8.3,2,0.5,Rural,1,0,177.3,0.0
40,0,5.2,1.4,3.8,1.9,3.7,0.4,0.5,3.2,1.1,5.2,2,2.1,Urban,1,0,108.2,13.0
14,1,6.2,3.2,1.3,1.1,3.2,2.4,1.7,0.6,2.2,8.0,8,5.1,Urban,0,1,163.2,4.8
54,0,4.9,5.0,2.9,0.3,1.9,2.9,2.1,5.4,2.5,4.3,2,5.4,Suburban,0,0,241.1,3.0
57,0,7.3,2.5,2.0,1.1,0.0,1.3,0.7,3.5,1.1,9.9,8,6.7,Urban,0,0,83.2,20.7
18,1,5.9,3.7,1.2,1.3,0.5,1.6,1.6,1.7,1.7,8.6,5,3.9,Suburban,0,0,150.3,8.0
40,1,6.3,1.9,1.0,0.9,1.1,3.3,3.4,1.1,1.1,7.1,9,5.5,Urban,0,1,201.9,7.2
40,2,5.2,3.3,1.4,0.8,2.0,1.5,2.2,2.9,1.1,7.5,9,4.2,Suburban,1,0,140.1,12.7
56,0,2.0,4.9,1.9,1.9,1.6,1.7,1.4,3.1,1.9,7.0,8,2.2,Suburban,0,1,170.6,0.0
56,1,1.9,4.0,2.6,0.4,0.0,1.9,2.0,1.2,2.6,5.7,9,0.0,Urban,0,0,195.5,20.8
32,0,7.2,0.6,1.5,0.0,0.0,2.8,2.1,1.1,0.1,7.9,7,2.5,Urban,0,0,134.9,25.2
42,1,6.5,3.9,1.5,1.8,1.8,2.4,1.6,1.3,1.0,8.1,8,0.7,Urban,0,1,96.9,17.3
23,0,6.9,3.9,1.1,0.4,1.6,2.3,2.9,2.6,0.6,5.6,6,5.1,Urban,0,0,145.0,13.3
40,1,6.3,3.3,0.8,0.9,1.3,3.8,0.0,2.6,0.2,6.5,9,5.2,Urban,1,0,95.3,8.3
37,1,6.4,4.0,0.7,0.8,2.0,1.5,2.6,5.3,0.1,5.0,2,1.0,Urban,0,1,122.5,1.4
51,1,7.9,1.7,3.0,1.6,2.7,0.9,1.3,0.0,1.2,6.4,3,5.2,Suburban,0,0,172.1,19.6
45,2,6.9,3.1,1.5,1.7,1.8,3.2,3.3,1.6,0.1,6.2,2,0.6,Suburban,1,1,159.1,17.3
13,0,8.1,4.7,1.6,0.4,0.6,2.3,0.5,1.8,0.1,8.0,6,5.9,Urban,0,0,199.9,13.6
39,1,6.3,4.5,1.3,1.7,3.4,1.3,3.1,3.1,1.0,8.4,3,2.7,Urban,1,1,161.6,12.7
64,1,5.4,3.8,1.7,1.7,1.3,1.6,1.1,3.2,0.2,5.2,1,3.9,Urban,0,1,111.0,12.4
25,0,6.4,1.7,2.4,1.0,1.5,0.5,2.4,2.2,1.7,7.4,4,5.9,Suburban,1,0,100.2,5.8
53,1,4.3,1.4,1.5,1.5,0.8,2.3,1.4,4.5,0.7,7.6,5,4.2,Urban,0,1,181.4,30.0
15,1,5.2,3.2,2.2,1.5,0.4,0.2,3.4,1.0,0.0,4.4,4,2.7,Urban,1,0,162.0,7.7
51,2,6.4,3.3,3.4,0.9,0.5,2.8,1.8,1.6,3.5,7.7,6,4.7,Urban,0,1,140.4,6.6
18,1,6.3,2.8,1.2,0.9,0.3,1.4,1.1,0.8,0.0,4.7,3,1.1,Rural,0,0,166.9,19.0
20,0,5.8,1.8,1.6,1.3,0.0,0.3,3.7,2.3,2.1,5.9,10,0.0,Suburban,1,1,114.8,9.8
39,2,3.2,3.7,2.6,0.2,1.3,3.3,1.7,2.1,1.5,5.4,6,5.3,Rural,0,1,27.7,9.8
21,1,7.3,3.2,3.5,0.8,2.6,4.7,2.6,3.5,0.7,4.6,10,0.4,Urban,0,0,202.1,21.3
49,1,7.7,3.4,0.8,0.4,0.5,2.5,3.1,4.9,0.3,7.8,1,4.8,Urban,0,0,182.4,15.4
45,1,9.3,3.9,0.3,1.7,4.1,1.7,0.9,4.4,2.9,5.4,6,3.3,Urban,0,0,145.7,15.8
